Adarsh Nagar,53,RAFEEK KHAN,Indian National Congress,ASHOK PARNAMI,Bharatiya Janata Party,12553                                             ,Result Declared,ASHOK PARNAMI,Bharatiya Janata Party,3803
Ahore,141,CHHAGANSINGH,Bharatiya Janata Party,SAVARAM PATEL,Indian National Congress,31048                                             ,Result Declared,SHANKAR SINGH RAJPUROHIT,Bharatiya Janata Party,9152
Ajmer North,100,VASUDEV DEVNANI,Bharatiya Janata Party,MAHENDRA SINGH RALAWATA,Indian National Congress,8630                                              ,Result Declared,VASUDEV DEVNANI,Bharatiya Janata Party,20479
Ajmer South,101,ANITA BHADEL,Bharatiya Janata Party,HEMANT BHATI,Indian National Congress,5700                                              ,Result Declared,ANITA BHADEL,Bharatiya Janata Party,23158
Alwar Rural,65,TIKA RAM JULLY,Indian National Congress,MASTER RAMKISHAN,Bharatiya Janata Party,26477                                             ,Result Declared,JAIRAM JATAV,Bharatiya Janata Party,26799
Alwar Urban,66,SANJAY SHARMA,Bharatiya Janata Party,SHWETA SAINI,Indian National Congress,22008                                             ,Result Declared,BANWARI LAL SINGHAL,Bharatiya Janata Party,62229
Amber,47,SATISH POONIA,Bharatiya Janata Party,PRASHANT SHARMA,Indian National Congress,13276                                             ,Result Declared,NAVIN PILANIA,National People’s Party,329
Anta,193,PRAMOD BHAYA,Indian National Congress,PRABHU LAL SAINI,Bharatiya Janata Party,34063                                             ,Result Declared,PRABHU LAL SAINI,Bharatiya Janata Party,3399
Anupgarh    ,6,SANTOSH,Bharatiya Janata Party,KULDEEP INDORA,Indian National Congress,21124                                             ,Result Declared,SHIMLA BAWRI,Bharatiya Janata Party,11146
Asind,177,JABBAR SINGH SANKHALA,Bharatiya Janata Party,MANISH MEWARA,Indian National Congress,154                                               ,Result Declared,RAM LAL GURJAR,Bharatiya Janata Party,27309
Aspur ,159,GOPICHAND MEENA,Bharatiya Janata Party,UMESH,Bhartiya Tribal Party,5330                                              ,Result Declared,GOPI CHAND MEENA,Bharatiya Janata Party,10504
Bagidora ,165,MAHENDRAJEET SINGH MALVIYA,Indian National Congress,KHEMRAJ GARASIYA,Bharatiya Janata Party,21310                                             ,Result Declared,MAHENDRAJEET SINGH MALVIYA,Indian National Congress,14325
Bagru ,56,GANGA DEVI,Indian National Congress,KAILASH CHAND VERMA,Bharatiya Janata Party,5343                                              ,Result Declared,KAILASH VERMA,Bharatiya Janata Party,46356
Bali,120,PUSHPENDRA SINGH,Bharatiya Janata Party,UMMED SINGH,Nationalist Congress Party,28187                                             ,Result Declared,PUSHAPENDRA SINGH,Bharatiya Janata Party,19588
Bamanwas,91,INDRA,Indian National Congress,NAWAL KISHORE MEENA,Independent,38513                                             ,Result Declared,KUNJI LAL,Bharatiya Janata Party,5662
Bandikui ,85,GAJRAJ KHATANA,Indian National Congress,RAM KISHOR SAINI,Bharatiya Janata Party,4764                                              ,Result Declared,ALKA SINGH,Bharatiya Janata Party,5777
Bansur,63,SHAKUNTALA RAWAT,Indian National Congress,DEVI SINGH SHEKHAWAT,Independent,17920                                             ,Result Declared,SHAKUNTLA RAWAT,Indian National Congress,23916
Banswara ,164,ARJUN SINGH BAMNIYA,Indian National Congress,HAKRU MAIDA,Bharatiya Janata Party,18366                                             ,Result Declared,DHAN SINGH RAWAT,Bharatiya Janata Party,30061
Baran-atru ,195,PANA CHAND MEGHWAL,Indian National Congress,BABOO LAL VERMA,Bharatiya Janata Party,12248                                             ,Result Declared,RAMPAL,Bharatiya Janata Party,20600
