BOLLAM MALLAIAH YADAV,Telangana Rashtra Samithi,89115
PADMAVATHI REDDY NALAMADA,Indian National Congress,88359
ANJI YADAV,Independent,5240
BURRI  SRIRAMULU,Communist Party of India  (Marxist),3381
KUNDURU DEVENDER REDDY,Telangana Inti Party,1508
JALLEPALLI ENKATESHWARLU,Bharatiya Janata Party,1485
VELANGI RAJU ORSU,Bahujan Samaj Party,741
PANDITI KRANTHI KUMAR,Independent,610
SHAIK  MASTAN SAHEB,Independent,530
GIDDE RAJESH,Independent,506
PANDI PEDDA TIRUPATHAIAH,Independent,327
AMBEDKAR DUNNA,Jai Swaraj Party,287
PARYAVARANAM KOLLU LAKSHMINARAYANA,Independent,265
DAIDA LINGAIAH,Independent,171
GANGIREDDY KOTIREDDY,Independent,123
None of the Above,None of the Above,1240
